Manufacturer,Model,Vehicle_type,Price_in_thousands,Engine_size,Horsepower,Wheelbase,Width,Length,Curb_weight,Fuel_capacity,Fuel_efficiency,Latest_Launch,Power_perf_factor,mileage
Dodge,Caravan,Car,19.565,2.4,150,113.3,76.8,186.3,3.533,20,24,9/1/2011,61.22700031,43338
Ford,Escort,Passenger,12.07,2,110,98.4,67,174.7,2.468,12.7,30,3/31/2012,44.08370946,59098
Ford,Mustang,Passenger,21.56,3.8,190,101.3,73.1,183.2,3.203,15.7,24,1/31/2012,76.50918456,34214
Ford,Contour,Passenger,17.035,2.5,170,106.5,69.1,184.6,2.769,15,25,8/20/2012,67.35101072,38240
Ford,Taurus,Passenger,17.885,3,155,108.5,73,197.6,3.368,16,24,12/20/2011,62.5037395,41940
Ford,Focus,Passenger,12.315,2,107,103,66.9,174.8,2.564,13.2,30,7/22/2012,43.11713201,60755
Ford,Crown Victoria,Passenger,22.195,4.6,200,114.7,78.2,212,3.908,19,21,9/26/2011,80.49953671,32504
Ford,Explorer,Car,31.93,4,210,111.6,70.2,190.7,3.876,21,19,4/25/2012,87.63549578,30956
Ford,Windstar,Car,21.41,3,150,120.7,76.6,200.9,3.761,26,21,2/25/2012,62.09504839,43338
Ford,Expedition,Car,36.135,4.6,240,119,78.7,204.6,4.808,26,16,9/14/2012,100.0248023,27086
Ford,Ranger,Car,12.05,2.5,119,117.5,69.4,200.7,3.086,20,23,1/14/2012,47.38953131,54628
Ford,F-Series,Car,99.999,9.9,999,999.9,79.1,224.5,4.241,25.1,18,8/16/2012,89.40193473,29549
Honda,Civic,Passenger,12.885,1.6,106,103.2,67.1,175.1,2.339,11.9,32,10/21/2011,42.87909734,61328
Honda,Accord,Passenger,15.35,2.3,135,106.9,70.3,188.8,2.932,17.1,27,5/20/2012,54.26954829,48154
Honda,CR-V,Car,20.55,2,146,103.2,68.9,177.6,3.219,15.3,24,3/21/2012,60.08796662,44526
Honda,Passport,Car,26.6,3.2,205,106.4,70.4,178.2,3.857,21.1,19,10/9/2012,83.6025008,31711
Honda,Odyssey,Car,26,3.5,210,118.1,75.6,201.2,4.288,20,23,2/8/2012,85.21769134,30956
Hyundai,Accent,Passenger,9.699,1.5,92,96.1,65.7,166.7,2.24,11.9,31,9/10/2012,36.67228358,70660
Hyundai,Elantra,Passenger,11.799,2,140,100.4,66.9,174,2.626,14.5,27,11/15/2011,54.59004516,46434
Hyundai,Sonata,Passenger,14.999,2.4,148,106.3,71.6,185.4,3.072,17.2,25,6/14/2012,58.758249,43924
Infiniti,I30,Passenger,29.465,3,227,108.3,70.2,193.7,3.342,18.5,25,4/15/2012,92.43688923,28637
Jaguar,S-Type,Passenger,42.8,3,240,114.5,71.6,191.3,3.65,18.4,21,11/3/2012,102.1789848,27086
Jeep,Wrangler,Car,14.46,2.5,120,93.4,66.7,152,3.045,19,17,3/4/2012,48.67289791,54173
Jeep,Cherokee,Car,21.62,4,190,101.4,69.4,167.5,3.194,20,20,10/5/2012,76.58443962,34214
Jeep,Grand Cherokee,Car,26.895,4,195,105.9,72.3,181.5,3.88,20.5,19,12/10/2011,80.38777912,33337
Lexus,ES300,Passenger,31.505,3,210,105.1,70.5,190.2,3.373,18.5,23,7/9/2012,87.21100104,30956
Lexus,GS300,Passenger,37.805,3,225,110.2,70.9,189.2,3.638,19.8,23,5/10/2012,94.9466984,28892
Lexus,GS400,Passenger,46.305,4,300,110.2,70.9,189.2,3.693,19.8,21,11/28/2012,125.0133574,21669
Lexus,LS400,Passenger,54.005,4,290,112.2,72,196.7,3.89,22.5,22,3/29/2012,124.4467163,22416
Lexus,LX470,Car,60.105,4.7,230,112.2,76.4,192.5,5.401,25.4,15,10/30/2012,105.760458,28264
Lexus,RX300,Car,34.605,3,220,103,71.5,180.1,3.9,17.2,21,1/4/2012,91.94380156,29549
Lincoln,Continental,Passenger,39.08,4.6,275,109,73.6,208.5,3.868,20,22,8/3/2012,113.5402069,23639
Lincoln,Town car,Passenger,43.33,4.6,215,117.7,78.2,215.3,4.121,19,21,6/4/2012,93.9579169,30236
Lincoln,Navigator,Car,42.66,5.4,300,119,79.9,204.8,5.393,30,15,12/23/2012,123.9720467,21669
Mitsubishi,Mirage,Passenger,13.987,1.8,113,98.4,66.5,173.6,2.25,13.2,30,4/23/2012,45.83218056,57529
Mitsubishi,Eclipse,Passenger,19.047,2.4,154,100.8,68.9,175.4,2.91,15.9,24,11/24/2012,62.44196235,42212
Mitsubishi,Galant,Passenger,17.357,2.4,145,103.7,68.5,187.8,2.945,16.3,25,1/29/2012,58.60677292,44833
Mitsubishi,Diamante,Passenger,24.997,3.5,210,107.1,70.3,194.1,3.443,19,22,8/28/2012,84.83077858,30956
Mitsubishi,3000GT,Passenger,25.45,3,161,97.2,72.4,180.3,3.131,19.8,21,6/29/2012,67.54415494,40377
Mitsubishi,Montero,Car,31.807,3.5,200,107.3,69.9,186.6,4.52,24.3,18,1/17/2012,83.92081504,32504
Mitsubishi,Montero Sport,Car,22.527,3,173,107.3,66.7,178.3,3.51,19.5,20,5/18/2012,70.66094179,37576
Mercury,Mystique,Passenger,16.24,2,125,106.5,69.1,184.8,2.769,15,28,12/19/2012,50.99774761,52006
Mercury,Cougar,Passenger,16.54,2,125,106.4,69.6,185,2.892,16,30,2/23/2012,51.11347426,52006
Mercury,Sable,Passenger,19.035,3,153,108.5,73,199.7,3.379,16,24,9/22/2012,62.23996663,42488
Mercury,Grand Marquis,Passenger,22.605,4.6,200,114.7,78.2,212,3.958,19,21,7/24/2012,80.65769646,32504
Mercury,Mountaineer,Car,27.56,4,210,111.6,70.2,190.1,3.876,21,18,2/13/2008,85.94974425,30956
Mercury,Villager,Car,22.51,3.3,170,112.2,74.9,194.7,3.944,20,21,10/20/2009,69.671461,38240
Mercedes-B,C-Class,Passenger,31.75,2.3,185,105.9,67.7,177.4,3.25,16.4,26,4/24/2011,78.28073088,35139
Mercedes-B,E-Class,Passenger,49.9,3.2,221,111.5,70.8,189.4,3.823,21.1,25,7/12/2011,98.2497375,29415
Mercedes-B,S-Class,Passenger,69.7,4.3,275,121.5,73.1,203.1,4.133,23.2,21,6/13/2011,125.2738757,23639
Mercedes-B,SL-Class,Passenger,82.6,5,302,99,71.3,177.1,4.125,21.1,20,3/17/2011,139.9822936,21525
Mercedes-B,SLK,Passenger,38.9,2.3,190,94.5,67.5,157.9,3.055,15.9,26,1/16/2011,82.80736193,34214
Mercedes-B,SLK230,Passenger,41,2.3,185,94.5,67.5,157.3,2.975,14,27,8/6/2011,81.84896924,35139
Mercedes-B,CLK Coupe,Passenger,41.6,3.2,215,105.9,67.8,180.3,3.213,16.4,26,7/8/2011,92.92579177,30236
Mercedes-B,CL500,Passenger,85.5,5,302,113.6,73.1,196.6,4.115,23.2,20,4/11/2011,141.1009845,21525
Mercedes-B,M-Class,Car,35.3,3.2,215,111,72.2,180.6,4.387,19,20,2/10/2011,90.49553213,30236
Nissan,Sentra,Passenger,13.499,1.8,126,99.8,67.3,177.5,2.593,13.2,30,8/31/2011,50.24197791,51593
Nissan,Altima,Passenger,20.39,2.4,155,103.1,69.1,183.5,3.012,15.9,25,8/2/2011,63.31372783,41940
Nissan,Maxima,Passenger,26.249,3,222,108.3,70.3,190.5,3.294,18.5,25,5/6/2011,89.42782031,29282
Nissan,Quest,Car,26.399,3.3,170,112.2,74.9,194.8,3.991,20,21,3/7/2011,71.17166413,38240
Nissan,Pathfinder,Car,29.299,3.3,170,106.3,71.7,182.6,3.947,21,19,9/25/2011,72.29035508,38240
Nissan,Xterra,Car,22.799,3.3,170,104.3,70.4,178,3.821,19.4,18,1/24/2011,69.78294434,38240
Nissan,Frontier,Car,17.89,3.3,170,116.1,66.5,196.1,3.217,19.4,18,8/27/2011,67.88927059,38240
Oldsmobile,Cutlass,Passenger,18.145,3.1,150,107,69.4,192,3.102,15.2,25,5/31/2011,60.86161155,43338
Oldsmobile,Intrigue,Passenger,24.15,3.5,215,109,73.6,195.9,3.455,18,,4/1/2011,86.27252291,30236
Oldsmobile,Alero,Passenger,18.27,2.4,150,107,70.1,186.7,2.958,15,27,10/20/2009,60.72744693,43338
Oldsmobile,Aurora,Passenger,36.229,4,250,113.8,74.4,205.4,3.967,18.5,22,2/18/2011,103.4416926,26003
Oldsmobile,Bravada,Car,31.598,4.3,190,107,67.8,181.2,4.068,17.5,19,9/21/2011,80.51167259,34214
Oldsmobile,Silhouette,Car,25.345,3.4,185,120,72.2,201.4,3.948,25,22,6/25/2011,76.09657042,35139
Plymouth,Neon,Passenger,12.64,2,132,105,74.4,174.4,2.559,12.5,29,4/26/2011,52.08489875,49248
Plymouth,Breeze,Passenger,16.08,2,132,108,71,186.3,2.942,16,27,11/14/2011,53.41189767,49248
Plymouth,Voyager,Car,18.85,2.4,150,113.3,76.8,186.3,3.528,20,24,4/24/2011,60.95118512,43338
Plymouth,Prowler,Passenger,43,3.5,253,113.3,76.3,165.4,2.85,12,21,6/27/2012,106.9844563,25694
Pontiac,Sunfire,Passenger,21.61,2.4,150,104.1,68.4,181.9,2.906,15,27,1/25/2012,62.0158703,43338
Pontiac,Grand Am,Passenger,19.72,3.4,175,107,70.4,186.3,3.091,15.2,25,11/26/2012,70.38973726,37147
Pontiac,Firebird,Passenger,25.31,3.8,200,101.1,74.5,193.4,3.492,16.8,25,6/16/2012,81.49272616,32504
Pontiac,Grand Prix,Passenger,21.665,3.8,195,110.5,72.7,196.5,3.396,18,25,10/15/2012,78.31816813,33337
Pontiac,Bonneville,Passenger,23.755,3.8,205,112.2,72.6,202.5,3.59,17.5,24,5/18/2011,82.6613556,31711
Pontiac,Montana,Car,25.635,3.4,185,120,72.7,201.3,3.942,25,23,7/22/2012,76.20843952,35139
Porsche,Boxter,Passenger,41.43,2.7,217,95.2,70.1,171,2.778,17,22,2/19/2012,93.4373307,29957
Porsche,Carrera Coupe,Passenger,71.02,3.4,300,92.6,69.5,174.5,3.032,17,21,12/21/2012,134.3909754,21669
Porsche,Carrera Cabrio,Passenger,74.97,3.4,300,92.6,69.5,174.5,3.075,17,23,7/11/2011,135.9147096,21669
Saab,5-Sep,Passenger,33.12,2.3,170,106.4,70.6,189.2,3.28,18.5,23,11/9/2012,73.50377819,38240
Saab,3-Sep,Passenger,26.1,2,185,102.6,67.4,182.2,2.99,16.9,23,6/12/2011,76.02304771,35139
Saturn,SL,Passenger,10.685,1.9,100,102.4,66.4,176.9,2.332,12.1,33,8/16/2012,39.98642475,65008
Saturn,SC,Passenger,12.535,1.9,100,102.4,66.4,180,2.367,12.1,33,3/16/2011,40.70007242,65008
Saturn,SW,Passenger,14.29,1.9,124,102.4,66.4,176.9,2.452,12.1,31,1/15/2011,49.86577367,52425
Saturn,LW,Passenger,18.835,2.2,137,106.5,69,190.4,3.075,13.1,27,8/5/2011,56.29524304,47451
Saturn,LS,Passenger,15.01,2.2,137,106.5,69,190.4,2.91,13.1,28,12/4/2012,54.81972825,47451
Subaru,Outback,Passenger,22.695,2.5,165,103.5,67.5,185.8,3.415,16.9,25,7/7/2011,67.7659076,39398
Subaru,Forester,Car,20.095,2.5,165,99.4,68.3,175.2,3.125,15.9,24,9/10/2012,66.76294331,39398
Toyota,Corolla,Passenger,13.108,1.8,120,97,66.7,174,2.42,13.2,33,4/11/2011,47.96897242,54173
Toyota,Camry,Passenger,17.518,2.2,133,105.2,70.1,188.5,2.998,18.5,27,2/10/2011,54.37241965,48878
Toyota,Avalon,Passenger,25.545,3,210,107.1,71.7,191.9,3.417,18.5,26,8/31/2011,84.91189826,30956
Toyota,Celica,Passenger,16.875,1.8,140,102.4,68.3,170.5,2.425,14.5,31,12/29/2012,56.49603034,46434
Toyota,Tacoma,Car,11.528,2.4,142,103.3,66.5,178.7,2.58,15.1,23,8/1/2011,55.29711658,45780
Toyota,Sienna,Car,22.368,3,194,114.2,73.4,193.5,3.759,20.9,22,10/5/2012,78.02721947,33509
Toyota,RAV4,Car,16.888,2,127,94.9,66.7,163.8,2.668,15.3,27,5/6/2011,51.95510887,51187
Toyota,4Runner,Car,22.288,2.7,150,105.3,66.5,183.3,3.44,18.5,23,3/7/2011,62.35557713,43338
Toyota,Land Cruiser,Car,51.728,4.7,230,112.2,76.4,192.5,5.115,25.4,15,9/25/2011,102.5289842,28264
Volkswagen,Golf,Passenger,14.9,2,115,98.9,68.3,163.3,2.767,14.5,26,1/24/2011,46.94387676,56528
Volkswagen,Jetta,Passenger,16.7,2,115,98.9,68.3,172.3,2.853,14.5,26,8/27/2011,47.63823666,56528
Volkswagen,Passat,Passenger,21.2,1.8,150,106.4,68.5,184.1,3.043,16.4,27,10/30/2012,61.70138136,43338
Volkswagen,Cabrio,Passenger,19.99,2,115,97.4,66.7,160.4,3.079,13.7,26,5/31/2011,48.90737225,56528
Volkswagen,GTI,Passenger,17.5,2,115,98.9,68.3,163.3,2.762,14.6,26,4/1/2011,47.94684106,56528
Volkswagen,Beetle,Passenger,15.9,2,115,98.9,67.9,161.1,2.769,14.5,26,10/20/2011,47.32963226,56528
Volvo,S40,Passenger,23.4,1.9,160,100.5,67.6,176.6,2.998,15.8,25,2/18/2011,66.1130568,40630
Volvo,V40,Passenger,24.4,1.9,160,100.5,67.6,176.6,3.042,15.8,25,9/21/2011,66.4988123,40630
Volvo,S70,Passenger,27.5,2.4,168,104.9,69.3,185.9,3.208,17.9,25,11/24/2012,70.65449545,38695
Volvo,V70,Passenger,28.8,2.4,168,104.9,69.3,186.2,3.259,17.9,25,6/25/2011,71.1559776,38695
Volvo,C70,Passenger,45.5,2.3,236,104.9,71.5,185.7,3.601,18.5,23,4/26/2011,101.6233572,27545
Volvo,S80,Passenger,36,2.9,201,109.9,72.1,189.8,3.6,21.1,24,11/14/2011,85.73565451,32342
